ID	Name	Sex	Session	DistanceError	PracMode	ExperMode	MainTask	SubTask	Background	Direction	InitSpeed	HoldTimeNum	HoldTime1	HoldTime2	HoldTime3	HoldTime4	HoldTime5	HoldTime6	HoldTime7	HoldTime8	HoldTime9	HoldTime10	HoldTime11	HoldTime12	PracTime	ExperTime	PracTimes	ExperTimes	Pra_Test	HoldNum	HoldTime	StartTime	SureTime	Test_RT	HoldError	Error_Ratio
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	1	2000	359509919	359510212	293	-1707	-0.85
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	2	4000	359512200	359512413	213	-3787	-0.95
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	3	2000	359514403	359514476	73	-1927	-0.96
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	4	1000	359516444	359516652	208	-792	-0.79
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	5	3000	359518644	359518804	160	-2840	-0.95
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	6	5000	359520804	359520829	25	-4975	-1.00
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	7	3000	359522805	359523436	631	-2369	-0.79
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	8	1000	359525405	359525725	320	-680	-0.68
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	9	4000	359527725	359528525	800	-3200	-0.80
1	1	ÄÐ	0	20.00	0	1	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	1	10	5000	359530487	359531380	893	-4107	-0.82
