ID	Name	Sex	Session	DistanceError	PracMode	ExperMode	MainTask	SubTask	Background	Direction	InitSpeed	HoldTimeNum	HoldTime1	HoldTime2	HoldTime3	HoldTime4	HoldTime5	HoldTime6	HoldTime7	HoldTime8	HoldTime9	HoldTime10	HoldTime11	HoldTime12	PracTime	ExperTime	PracTimes	ExperTimes	Pra_Test	HoldNum	HoldTime	StartTime	SureTime	Test_RT	HoldError	Error_Ratio
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	1	2000	359464886	359465076	190	-1810	-0.90
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	2	4000	359467136	359469140	2004	-1996	-0.50
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	3	2000	359471203	359472340	1137	-863	-0.43
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	4	1000	359474402	359475060	658	-342	-0.34
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	5	3000	359477119	359477669	550	-2450	-0.82
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	6	5000	359479735	359480108	373	-4627	-0.93
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	7	3000	359482169	359482739	570	-2430	-0.81
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	8	1000	359484802	359484957	155	-845	-0.85
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	9	4000	359487019	359487109	90	-3910	-0.98
1	1	ÄÐ	0	20.00	1	0	0	1	0	-1	-1.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	2	2	0	10	5000	359489170	359489940	770	-4230	-0.85
