Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	0	130996995	130997948	953	0	1
1	2	0	131001999	131002792	793	0	1
1	3	0	131004995	131005487	492	0	1
1	4	0	131009999	131010514	515	0	1
1	5	0	131015001	131015483	482	0	1
1	6	0	131017997	131018438	441	0	1
1	7	2	0	131020100	131020100	0	0
1	8	0	131022015	131022399	384	0	1
1	9	0	131028003	131029028	1025	0	1
1	10	0	131032022	131032577	555	0	1
1	11	0	131036001	131036563	562	0	1
1	12	0	131038996	131039564	568	0	1
1	13	0	131045025	131045647	622	0	1
1	14	0	131049003	131049434	431	0	1
1	15	0	131053023	131054354	1331	0	1
