Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	0	130927450	130928320	870	0	1
1	2	0	130932454	130933070	616	0	1
1	3	0	130935450	130936187	737	0	1
1	4	0	130940454	130941087	633	0	1
1	5	0	130945461	130945962	501	0	1
1	6	0	130948456	130948974	518	0	1
1	7	0	130952476	130952911	435	0	1
1	8	0	130958466	130959075	609	0	1
1	9	0	130962444	130963235	791	0	1
1	10	0	130966464	130966856	392	0	1
1	11	0	130969458	130969927	469	0	1
1	12	2	0	130973946	130973946	0	0
1	13	0	130975446	130975972	526	0	1
1	14	2	0	130977016	130977016	0	0
1	15	2	0	130977778	130977778	0	0
1	16	0	130979466	130980040	574	0	1
1	17	0	130983444	130983989	545	0	1
