Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	131175609	131176208	599	0	0
1	2	1	131180612	131181134	522	0	0
1	3	1	131183605	131184180	575	0	0
1	4	0	131188610	131189280	670	0	1
1	5	1	131193613	131194167	554	0	0
1	6	1	131196608	131197296	688	0	0
1	7	1	131200627	131201151	524	0	0
1	8	0	131206614	131207198	584	0	1
1	9	0	131210634	131211204	570	0	1
1	10	0	131214612	131215143	531	0	1
1	11	0	131217607	131218106	499	0	1
1	12	0	131223637	131224272	635	0	1
1	13	0	131227616	131228055	439	0	1
1	14	2	0	131229016	131229016	0	0
1	15	0	131231635	131232112	477	0	1
