Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	0	131305279	131306072	793	0	1
1	2	0	131310283	131310898	615	0	1
1	3	0	131313277	131313738	461	0	1
1	4	0	131318281	131318895	614	0	1
1	5	1	131323285	131323904	619	0	0
1	6	1	131326279	131327346	1067	0	0
1	7	0	131330299	131331791	1492	1	0
1	8	0	131336287	131336846	559	0	1
1	9	1	131340306	131340984	678	1	1
1	10	0	131344283	131344910	627	0	1
1	11	0	131347277	131348367	1090	0	1
1	12	2	0	131349129	131349129	1	0
1	13	2	0	131349399	131349399	1	0
1	14	2	0	131349914	131349914	0	0
1	15	1	131353305	0	4163613991	-1	0
1	16	2	0	131357144	131357144	1	0
1	17	1	131357285	131358164	879	0	0
1	18	1	131361304	131361937	633	0	0
