测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	150	水平向右	1912075103114	1912095687251	0	2058.4137	191209568.7251	191207510.31	1.33	-1	{X=264,Y=384}	{X=614,Y=384}	{X=0,Y=0}
2	50	水平向右	1912231006223	1912271615450	1912294127400	4060.9227	2251.1950	6312.12	4.00	-42.75	{X=264,Y=384}	{X=614,Y=384}	{X=526,Y=384}
3	150	竖直向上	1912304195509	1912324676920	1912324936866	2048.1411	25.9946	2074.14	1.33	-98.34	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
4	50	竖直向下	1912334985295	1912375496673	1912375795482	4051.1378	29.8809	4081.02	4.00	-99.27	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
5	100	竖直向下	1912385834555	1912411104762	1912411486240	2527.0207	38.1478	2565.17	2.00	-97.70	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=184}
6	150	水平向左	1912421545071	1912441966782	1912441966814	2042.1711	0.0032	2042.17	1.33	-98.57	{X=964,Y=384}	{X=614,Y=384}	{X=811,Y=384}
7	50	水平向右	1912452026509	1912492587257	1912492587290	4056.0748	0.0033	4056.08	4.00	-99.23	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
8	100	水平向右	1912502656207	1912527967120	1912527986220	2531.0913	1.9100	2533.00	2.00	-99.39	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
9	150	竖直向下	1912538026723	1912558546962	1912558567601	2052.0239	2.0639	2054.09	1.33	-97.75	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=188}
10	50	竖直向上	1912568635542	1912609324858	1912609324967	4068.9316	0.0109	4068.94	4.00	-99.01	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
11	150	水平向右	1912619385595	1912639837425	1912639856820	2045.1830	1.9395	2047.12	1.33	-98.26	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
12	150	竖直向下	1912649906242	1912670316734	1912670316861	2041.0492	0.0127	2041.06	1.33	-98.58	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=186}
13	50	竖直向上	1912680376203	1912720936187	1912720956005	4055.9984	1.9818	4057.98	4.00	-99.25	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
14	150	水平向右	1912731000390	1912751466136	1912751646675	2046.5746	18.0539	2064.63	1.33	-98.34	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
15	150	竖直向下	1912761705798	1912751466136	1912751646675	1023.9662	18.0539	1005.91	1.33	-175.00	{X=614,Y=34}	{X=614,Y=384}	{X=417,Y=384}
16	50	竖直向下	1912772189037	1912812756237	1912812775972	4056.7200	1.9735	4058.69	4.00	-99.12	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
17	100	竖直向下	1912822816500	1912812756237	1912812775972	1006.0263	1.9735	1004.05	2.00	-175.00	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
18	100	水平向右	1912833286117	1912858655732	1912859566417	2536.9615	91.0685	2628.03	2.00	-95.14	{X=264,Y=384}	{X=614,Y=384}	{X=423,Y=384}
19	150	竖直向下	1912869616339	1912890107543	1912892514734	2049.1204	240.7191	2289.84	1.33	-82.83	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=218}
20	50	竖直向上	1912902556792	1912943136690	1912943156716	4057.9898	2.0026	4059.99	4.00	-99.28	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
21	100	竖直向上	1912953205191	1912978525556	1912978525604	2532.0365	0.0048	2532.04	2.00	-99.34	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
22	150	水平向右	1912988575596	1913009044715	1913009065592	2046.9119	2.0877	2049.00	1.33	-98.22	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
23	50	水平向左	1913019124418	1913059706924	1913009065592	4058.2506	5064.1332	1005.88	4.00	-1	{X=964,Y=384}	{X=614,Y=384}	{X=417,Y=384}
24	100	竖直向下	1913149615727	1913174954576	1913009065592	2533.8849	16588.8984	14055.01	2.00	-1	{X=614,Y=34}	{X=614,Y=384}	{X=417,Y=384}
