测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	150	水平向右	1930702604217	1930722864169	1930722993112	2025.9952	12.8943	2038.89	1.33	-99.86	{X=264,Y=384}	{X=614,Y=384}	{X=414,Y=384}
2	50	水平向左	1930733035110	1930773533971	1930774434051	4049.8861	90.0080	4139.89	4.00	-97.25	{X=964,Y=384}	{X=614,Y=384}	{X=808,Y=384}
3	100	水平向左	1930784484920	1930810066563	1930810066582	2558.1643	0.0019	2558.17	2.00	-98.49	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
4	150	竖直向上	1930820116516	1930840625454	1930841314531	2050.8938	68.9077	2119.80	1.33	-95.01	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=574}
5	50	竖直向下	1930851355611	1930891884291	1930891884300	4052.8680	0.0009	4052.87	4.00	-99.20	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
6	100	竖直向下	1930901928006	1930927245500	1930927245508	2531.7494	0.0008	2531.75	2.00	-99.44	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
7	150	竖直向上	1930937295111	1930957824180	1930957824193	2052.9069	0.0013	2052.91	1.33	-98.21	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
8	50	水平向右	1930967874745	1931008514253	1931008514260	4063.9508	0.0007	4063.95	4.00	-99.02	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
9	100	水平向右	1931018565444	1931043984979	1931043984987	2541.9535	0.0008	2541.95	2.00	-98.90	{X=264,Y=384}	{X=614,Y=384}	{X=416,Y=384}
10	150	水平向左	1931054034509	1931074514492	1931074514501	2047.9983	0.0009	2048.00	1.33	-98.42	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
11	50	水平向右	1931084545107	1931124975599	1931124975671	4043.0492	0.0072	4043.06	4.00	-99.50	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
12	100	水平向右	1931135025635	1931160414011	1931160990841	2538.8376	57.6830	2596.52	2.00	-97.30	{X=264,Y=384}	{X=614,Y=384}	{X=419,Y=384}
13	150	竖直向下	1931171024006	1931160414011	1931160990841	1060.9995	57.6830	1003.32	1.33	-147.40	{X=614,Y=34}	{X=614,Y=384}	{X=419,Y=384}
