测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	150	竖直向下	1773397168056	1773417517237	1773421967724	2034.9181	445.0487	2479.97	1.33	-68.58	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=246}
2	50	水平向左	1773431998591	1773472520678	1773472930818	4052.2087	41.0140	4093.22	4.00	-98.32	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
3	100	水平向左	1773482980346	1773508368348	1773509089400	2538.8002	72.1052	2610.91	2.00	-97.05	{X=964,Y=384}	{X=614,Y=384}	{X=808,Y=384}
4	150	竖直向上	1773519128213	1773539628618	1773540516872	2050.0405	88.8254	2138.87	1.33	-91.91	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=567}
5	50	竖直向下	1773550548136	1773591118615	1773591657866	4057.0479	53.9251	4110.97	4.00	-98.30	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
6	100	竖直向下	1773601708454	1773627068469	1773628129511	2536.0015	106.1042	2642.11	2.00	-95.25	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=193}
7	50	竖直向上	1773638169007	1773678619730	1773678619754	4045.0723	0.0024	4045.07	4.00	-99.37	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
8	100	竖直向上	1773688668042	1773714048697	1773715019080	2538.0655	97.0383	2635.10	2.00	-95.24	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=574}
9	150	竖直向下	1773725057942	1773745558794	1773745577365	2050.0852	1.8571	2051.94	1.33	-98.21	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
10	150	水平向左	1773755618357	1773776108415	1773776127890	2049.0058	1.9475	2050.95	1.33	-98.28	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
11	50	水平向右	1773786158525	1773826626835	1773828127999	4046.8310	150.1164	4196.95	4.00	-96.45	{X=264,Y=384}	{X=614,Y=384}	{X=421,Y=384}
12	150	水平向右	1773838157493	1773858629543	1773858847405	2047.2050	21.7862	2068.99	1.33	-98.20	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
13	50	水平向左	1773868886818	1773909528268	1773910528646	4064.1450	100.0378	4164.18	4.00	-97.00	{X=964,Y=384}	{X=614,Y=384}	{X=808,Y=384}
14	100	水平向左	1773920568733	1773945898827	1773946049422	2533.0094	15.0595	2548.07	2.00	-99.54	{X=964,Y=384}	{X=614,Y=384}	{X=813,Y=384}
15	150	水平向右	1773956087783	1773976559214	1773976578464	2047.1431	1.9250	2049.07	1.33	-98.21	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
16	50	水平向左	1773986607274	1774027169086	1774027188221	4056.1812	1.9135	4058.09	4.00	-99.30	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
17	100	水平向左	1774037219273	1774062597584	1774063020400	2537.8311	42.2816	2580.11	2.00	-97.41	{X=964,Y=384}	{X=614,Y=384}	{X=808,Y=384}
18	150	竖直向上	1774073048592	1774093429486	1774093969638	2038.0894	54.0152	2092.10	1.33	-95.21	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=574}
19	50	竖直向下	1774104009169	1774144459083	1774162369373	4044.9914	1791.0290	5836.02	4.00	-55.35	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=273}
19	50	竖直向下	1774104009169	1774144459083	1774162369373	4044.9914	1791.0290	5836.02	4.00	-54.31	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=273}
19	50	竖直向下	1774104009169	1774144459083	1774162369373	4044.9914	1791.0290	5836.02	4.00	-54.31	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=273}
22	150	水平向左	1774192497613	1774212888586	1774212888714	2039.0973	0.0128	2039.11	1.33	-98.49	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
23	50	水平向右	1774222928265	1774263427635	1774264117719	4049.9370	69.0084	4118.95	4.00	-98.20	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
24	100	水平向右	1774274147535	1774299519353	1774299519508	2537.1818	0.0155	2537.20	2.00	-99.19	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
25	150	竖直向下	1774309548025	1774330057959	1774331018181	2050.9934	96.0222	2147.02	1.33	-92.20	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=199}
25	150	竖直向下	1774309548025	1774330057959	1774331018181	2050.9934	96.0222	2147.02	1.33	-91.18	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=199}
27	50	水平向左	1774351068202	1774391678419	1774392618568	4061.0217	94.0149	4155.04	4.00	-97.00	{X=964,Y=384}	{X=614,Y=384}	{X=808,Y=384}
27	50	水平向左	1774351068202	1774391678419	1774392618568	4061.0217	94.0149	4155.04	4.00	-96.00	{X=964,Y=384}	{X=614,Y=384}	{X=808,Y=384}
27	50	水平向左	1774351068202	1774391678419	1774392618568	4061.0217	94.0149	4155.04	4.00	-96.00	{X=964,Y=384}	{X=614,Y=384}	{X=808,Y=384}
30	150	竖直向下	1774422697318	1774443128393	1774443148493	2043.1075	2.0100	2045.12	1.33	-98.41	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
31	50	竖直向上	1774453178139	1774493698605	1774493705709	4052.0466	0.7104	4052.76	4.00	-99.28	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
31	50	竖直向上	1774453178139	1774493698605	1774493705709	4052.0466	0.7104	4052.76	4.00	-99.28	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
33	150	竖直向上	1774513767850	1774534259273	1774493705709	2049.1423	4055.3564	2006.21	1.33	-1	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
