测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	50	水平向左	1782366138759	1782406709922	1782406727741	4057.1163	1.7819	4058.90	4.00	-99.12	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
2	100	水平向左	1782416768371	1782442178691	1782442178723	2541.0320	0.0032	2541.04	2.00	-99.01	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
2	100	水平向左	1782416768371	1782442178691	1782442178723	2541.0320	0.0032	2541.04	2.00	-99.01	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
4	50	竖直向上	1782462298344	1782502819341	1782511327383	4052.0997	850.8042	4902.90	4.00	-78.85	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=541}
5	100	水平向左	1782521369328	1782546766978	1782552687825	2539.7650	592.0847	3131.85	2.00	-70.40	{X=964,Y=384}	{X=614,Y=384}	{X=754,Y=384}
6	150	竖直向上	1782562749482	1782583269585	1782588218625	2052.0103	494.9040	2546.91	1.33	-61.06	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=506}
7	100	竖直向下	1782598256853	1782623678330	1782626048329	2542.1477	236.9999	2779.15	2.00	-88.96	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=206}
8	100	水平向左	1782636087668	1782661477151	1782663727329	2538.9483	225.0178	2763.97	2.00	-88.95	{X=964,Y=384}	{X=614,Y=384}	{X=791,Y=384}
9	150	竖直向上	1782673758114	1782694169195	1782696287334	2041.1081	211.8139	2252.92	1.33	-82.99	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=549}
10	50	竖直向下	1782706317465	1782746948874	1782755157078	4063.1409	820.8204	4883.96	4.00	-78.55	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=226}
11	150	竖直向下	1782765190203	1782785709303	1782787581150	2051.9100	187.1847	2239.09	1.33	-85.67	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=212}
12	50	水平向左	1782797638435	1782838087877	1782840217739	4044.9442	212.9862	4257.93	4.00	-94.25	{X=964,Y=384}	{X=614,Y=384}	{X=802,Y=384}
13	100	水平向左	1782850247719	1782875649127	1782877887557	2540.1408	223.8430	2763.98	2.00	-88.95	{X=964,Y=384}	{X=614,Y=384}	{X=791,Y=384}
14	150	竖直向上	1782887927230	1782908367464	1782909169376	2044.0234	80.1912	2124.21	1.33	-92.41	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=574}
15	50	竖直向下	1782919208006	1782959748420	1782960036571	4054.0414	28.8151	4082.86	4.00	-99.30	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
16	100	竖直向下	1782970078510	1782995468131	1782996288798	2538.9621	82.0667	2621.03	2.00	-95.25	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=193}
17	150	竖直向上	1783006347638	1783026748856	1783026758610	2040.1218	0.9754	2041.10	1.33	-98.35	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
18	50	竖直向下	1783036789882	1783077298077	1783078048441	4050.8195	75.0364	4125.86	4.00	-98.30	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
19	150	竖直向下	1783088088246	1783108586754	1783110606953	2049.8508	202.0199	2251.87	1.33	-85.89	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=212}
20	150	水平向左	1783120649431	1783141159179	1783141259257	2050.9748	10.0078	2060.98	1.33	-98.05	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
21	50	水平向右	1783151310080	1783191846826	1783191846832	4053.6746	0.0006	4053.68	4.00	-99.30	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
22	100	水平向右	1783201899328	1783227279606	1783227279134	2538.0278	0.0472	2537.98	2.00	-99.50	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
23	50	水平向左	1783237336627	1783227279606	1783227279134	1005.7021	0.0472	1005.75	4.00	-137.18	{X=964,Y=384}	{X=614,Y=384}	{X=415,Y=384}
