测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	100	竖直向上	1926736436863	1926761806565	1926761806574	2536.9702	0.0009	2536.97	2.00	-99.29	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
2	150	水平向右	1926771898424	1926792384269	1926792384277	2048.5845	0.0008	2048.59	1.33	-98.14	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
3	50	水平向左	1926802475322	1926843135768	1926843713059	4066.0446	57.7291	4123.77	4.00	-98.12	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
4	100	水平向左	1926853798325	1926879154451	1926879328868	2535.6126	17.4417	2553.05	2.00	-99.51	{X=964,Y=384}	{X=614,Y=384}	{X=813,Y=384}
5	50	水平向右	1926889405403	1926929965685	1926930593092	4056.0282	62.7407	4118.77	4.00	-98.20	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
6	100	水平向右	1926940676110	1926966105369	1926966105274	2542.9259	0.0095	2542.92	2.00	-99.30	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
7	150	水平向左	1926976224138	1926996694269	1926996694793	2047.0131	0.0524	2047.07	1.33	-98.28	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
8	150	竖直向上	1927006764754	1927027207323	1927028593608	2044.2569	138.6285	2182.89	1.33	-88.90	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=561}
9	100	竖直向下	1927038666343	1927064085400	1927064681000	2541.9057	59.5600	2601.47	2.00	-97.30	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=189}
10	100	水平向左	1927074774327	1927100215853	1927100215942	2544.1526	0.0089	2544.16	2.00	-99.15	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
11	150	竖直向上	1927110294405	1927130704309	1927131235313	2040.9904	53.1004	2094.09	1.33	-95.50	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=575}
12	50	竖直向下	1927141335524	1927181905389	1927181905440	4056.9865	0.0051	4056.99	4.00	-99.28	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
13	150	水平向左	1927191985519	1927212445555	1927213071063	2046.0036	62.5508	2108.55	1.33	-95.34	{X=964,Y=384}	{X=614,Y=384}	{X=804,Y=384}
14	150	竖直向上	1927223154565	1927243585697	1927244433822	2043.1132	84.8125	2127.93	1.33	-92.12	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=568}
15	50	竖直向下	1927254514082	1927295095719	1927295095724	4058.1637	0.0005	4058.16	4.00	-99.17	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
16	100	竖直向下	1927305184944	1927330635087	1927331233745	2545.0143	59.8658	2604.88	2.00	-97.15	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=189}
17	50	竖直向上	1927341304086	1927381775427	1927382834737	4047.1341	105.9310	4153.07	4.00	-97.30	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=578}
18	100	竖直向上	1927392965188	1927418314035	1927419155930	2534.8847	84.1895	2619.07	2.00	-95.35	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=574}
19	150	水平向右	1927429284263	1927449765458	1927449765465	2048.1195	0.0007	2048.12	1.33	-98.50	{X=264,Y=384}	{X=614,Y=384}	{X=416,Y=384}
20	50	水平向左	1927459844554	1927500304414	1927500673226	4045.9860	36.8812	4082.87	4.00	-99.30	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
21	100	水平向左	1927510735672	1927536155362	1927536155366	2541.9690	0.0004	2541.97	2.00	-99.14	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
22	150	水平向右	1927546245457	1927566755440	1927566755446	2050.9983	0.0006	2051.00	1.33	-98.20	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
23	50	水平向左	1927576834021	1927617305539	1927617560489	4047.1518	25.4950	4072.65	4.00	-99.35	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
24	100	竖直向下	1927627661247	1927653065415	1927653314838	2540.4168	24.9423	2565.36	2.00	-99.20	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
