ID	Name	Sex	Session	DistanceError	PracMode	ExperMode	MainTask	SubTask	Background	InitSpeed	CubeNum1	CubeNum2	CubeNum3	CubeNum4	Prototype	RefAxis	MemTaskMode	PracTime	ExperTime	PracTimes	ExperTimes	Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	1	42727146	988	371	638	371	350.00	0	-0.00	-10.00	0.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	2	42727186	987	370	638	371	349.00	0	-0.01	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	3	42727226	987	370	646	371	341.00	0	-0.02	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	4	42727266	987	369	654	371	333.01	0	-0.03	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	5	42727306	987	369	662	371	325.01	0	-0.05	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	6	42727346	987	369	670	371	317.01	0	-0.06	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	7	42727386	987	368	678	371	309.01	0	-0.07	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	8	42727426	987	368	686	371	301.01	0	-0.08	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	9	42727466	987	367	694	371	293.03	0	-0.09	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	10	42727506	987	367	702	371	285.03	0	-0.10	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	11	42727546	987	367	710	371	277.03	0	-0.11	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	12	42727586	987	366	718	371	269.05	0	-0.13	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	13	42727626	987	366	726	371	261.05	0	-0.14	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	14	42727666	987	365	734	371	253.07	0	-0.15	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	15	42727706	987	365	742	371	245.07	0	-0.16	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	16	42727746	987	365	750	371	237.08	0	-0.17	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	17	42727786	987	364	758	371	229.11	0	-0.18	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	18	42727826	987	364	766	371	221.11	0	-0.19	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	19	42727866	987	363	774	371	213.15	0	-0.21	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	20	42727906	987	363	782	371	205.16	0	-0.22	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	21	42727946	987	363	790	371	197.16	0	-0.23	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	22	42727986	987	362	798	371	189.21	0	-0.24	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	23	42728026	987	362	806	371	181.22	0	-0.25	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	24	42728066	987	361	814	371	173.29	0	-0.26	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	25	42728106	987	361	822	371	165.30	0	-0.27	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	26	42728146	987	361	830	371	157.32	0	-0.29	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	27	42728186	987	360	838	371	149.41	0	-0.30	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	28	42728226	987	360	846	371	141.43	0	-0.31	-10.00	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	29	42728266	987	359	854	371	133.54	0	-0.32	-9.99	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	30	42728306	987	359	862	371	125.57	0	-0.33	-9.99	200.00	0.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0.00	1	0	0	0	0	0	0	60	60	1	1	0	31	42728346	987	359	870	371	117.61	0	-0.34	-9.99	200.00	0.00
