测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	50	水平向右	1784402217364	1784442709195	1784443408161	4049.1831	69.8966	4119.08	4.00	-98.37	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
2	150	竖直向下	1784453437274	1784473867855	1784474437682	2043.0581	56.9827	2100.04	1.33	-95.43	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=193}
3	150	水平向左	1784484477362	1784504998426	1784505168612	2052.1064	17.0186	2069.13	1.33	-98.14	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
4	50	水平向右	1784515206777	1784555647282	1784556289117	4044.0505	64.1835	4108.23	4.00	-98.37	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
4	50	水平向右	1784515206777	1784555647282	1784556289117	4044.0505	64.1835	4108.23	4.00	-97.35	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
6	150	水平向右	1784576357220	1784596829087	1784601556773	2047.1867	472.7686	2519.96	1.33	-64.30	{X=264,Y=384}	{X=614,Y=384}	{X=485,Y=384}
6	150	水平向右	1784576357220	1784596829087	1784601556773	2047.1867	472.7686	2519.96	1.33	-63.26	{X=264,Y=384}	{X=614,Y=384}	{X=485,Y=384}
8	50	水平向右	1784621628066	1784662147968	1784662157294	4051.9902	0.9326	4052.92	4.00	-99.22	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
9	100	水平向右	1784672199400	1784697507324	1784697507572	2530.7924	0.0248	2530.82	2.00	-99.41	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
9	100	水平向右	1784672199400	1784697507324	1784697507572	2530.7924	0.0248	2530.82	2.00	-98.39	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
11	50	竖直向下	1784717739034	1784758298053	1784758608854	4055.9019	31.0801	4086.98	4.00	-99.18	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
12	100	竖直向下	1784768650544	1784794066917	1784794859355	2541.6373	79.2438	2620.88	2.00	-97.15	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=189}
13	150	竖直向上	1784804898128	1784825369523	1784825388090	2047.1395	1.8567	2049.00	1.33	-98.13	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
