序号	左侧图片	右侧图片	能否重合	按键情况	是否正确	反应时
1	1_z_15_b.jpg	1_z_135_b.jpg	0	0	1	217.69
2	1_x_15_a.jpg	1_x_75_a.jpg	0	0	1	1250.4
3	1_z_15_b.jpg	1_z_135_a.jpg	1	0	0	3734.88
4	1_z_15_b.jpg	1_z_195_a.jpg	1	0	0	4639.72
1	9_z_15_b.jpg	9_z_15_a.jpg	1	0	0	1277.95
2	8_x_15_b.jpg	8_x_75_a.jpg	1	0	0	2983.79
3	9_x_15_b.jpg	9_x_15_a.jpg	1	0	0	1859.78
4	8_x_15_b.jpg	8_x_135_a.jpg	1	0	0	1969.14
5	9_z_15_b.jpg	9_z_195_b.jpg	0	0	1	1905.61
6	8_z_15_b.jpg	8_z_75_b.jpg	0	0	1	2454.02
7	9_x_15_a.jpg	9_x_195_b.jpg	1	0	0	436.698
8	8_z_15_b.jpg	8_z_15_a.jpg	1	0	0	328.252
9	9_x_15_b.jpg	9_x_195_b.jpg	0	0	1	671.222
10	8_z_15_a.jpg	8_z_135_b.jpg	1	0	0	265.966
11	9_x_15_b.jpg	9_x_75_b.jpg	0	0	1	624.522
12	8_z_15_a.jpg	8_z_75_b.jpg	1	0	0	468.783
13	9_x_15_a.jpg	9_x_75_b.jpg	1	0	0	312.347
14	8_z_15_b.jpg	8_z_135_a.jpg	1	0	0	656.702
15	9_x_15_b.jpg	9_x_135_a.jpg	1	0	0	719.207
16	8_x_15_b.jpg	8_x_135_b.jpg	0	0	1	844.124
17	9_z_15_a.jpg	9_z_75_a.jpg	0	0	1	2124.64
18	8_x_15_a.jpg	8_x_195_b.jpg	1	0	0	1983.73
19	9_z_15_b.jpg	9_z_75_b.jpg	0	0	1	718.84
20	8_x_15_a.jpg	8_x_75_b.jpg	1	0	0	953.227
21	9_z_15_b.jpg	9_z_135_b.jpg	0	0	1	656.967
22	8_x_15_a.jpg	8_x_195_b.jpg	1	0	0	937.321
23	9_x_15_a.jpg	9_x_195_a.jpg	0	0	1	1515.11
24	8_x_15_a.jpg	8_x_195_a.jpg	0	0	1	1015.78
25	9_z_15_b.jpg	9_z_195_b.jpg	0	0	1	843.206
26	8_z_15_b.jpg	8_z_15_a.jpg	1	0	0	672.086
27	9_x_15_b.jpg	9_x_15_a.jpg	1	0	0	969.222
28	8_x_15_a.jpg	8_x_15_b.jpg	1	0	0	952.845
29	9_z_15_b.jpg	9_z_15_b.jpg	0	0	1	2406.22
30	8_x_15_a.jpg	8_x_75_b.jpg	1	0	0	2311.81
31	9_x_15_b.jpg	9_x_135_a.jpg	1	0	0	1812.49
32	8_x_15_b.jpg	8_x_135_a.jpg	1	0	0	1062.72
33	9_z_15_a.jpg	9_z_195_b.jpg	1	0	0	751.407
34	8_z_15_b.jpg	8_z_135_b.jpg	0	0	1	702.583
35	9_z_15_a.jpg	9_z_195_a.jpg	0	0	1	958.108
36	8_x_15_a.jpg	8_x_75_b.jpg	1	-1	0	-1
37	9_x_15_a.jpg	9_x_75_b.jpg	1	-1	0	-1
38	8_z_15_a.jpg	8_z_195_a.jpg	0	-1	0	-1
39	9_z_15_b.jpg	9_z_135_a.jpg	1	0	0	3869.07
40	8_x_15_b.jpg	8_x_195_a.jpg	1	0	0	3062.36
41	9_z_15_a.jpg	9_z_135_a.jpg	0	0	1	234.526
42	8_z_15_a.jpg	8_z_15_b.jpg	1	0	0	1093.67
43	9_x_15_a.jpg	9_x_75_b.jpg	1	0	0	1015.5
44	8_z_15_b.jpg	8_z_75_a.jpg	1	0	0	1531.78
45	9_z_15_b.jpg	9_z_15_a.jpg	1	0	0	1077.92
46	8_z_15_a.jpg	8_z_195_b.jpg	1	0	0	2202.67
47	9_x_15_a.jpg	9_x_135_b.jpg	1	0	0	1735.22
48	8_z_15_a.jpg	8_z_75_a.jpg	0	0	1	796.004
49	9_z_15_a.jpg	9_z_135_b.jpg	1	0	0	594.617
50	8_z_15_b.jpg	8_z_195_a.jpg	1	0	0	938.068
51	9_x_15_a.jpg	9_x_15_a.jpg	0	0	1	482.971
52	8_x_15_b.jpg	8_x_135_a.jpg	1	0	0	1187.76
53	9_z_15_a.jpg	9_z_75_a.jpg	0	0	1	859.055
54	8_z_15_b.jpg	8_z_135_b.jpg	0	0	1	1171.82
55	9_z_15_a.jpg	9_z_15_b.jpg	1	0	0	547.718
56	8_x_15_b.jpg	8_x_15_a.jpg	1	0	0	1890.46
57	9_x_15_a.jpg	9_x_135_b.jpg	1	0	0	1343.84
58	8_x_15_b.jpg	8_x_15_a.jpg	1	0	0	3514.92
59	9_z_15_a.jpg	9_z_75_a.jpg	0	0	1	203.743
60	8_z_15_a.jpg	8_z_195_a.jpg	0	0	1	3578.49
61	9_x_15_b.jpg	9_x_15_a.jpg	1	0	0	1374.66
62	8_x_15_a.jpg	8_x_15_b.jpg	1	0	0	1952.76
63	9_x_15_b.jpg	9_x_195_a.jpg	1	0	0	1718.38
64	8_z_15_a.jpg	8_z_15_b.jpg	1	0	0	1375.66
