测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	150	竖直向上	1916490695004	1916511314625	1916511314629	2061.9621	0.0004	2061.96	1.33	-97.98	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=579}
2	50	竖直向下	1916521367051	1916561806408	1916561806513	4043.9357	0.0105	4043.95	4.00	-99.75	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=184}
3	100	竖直向下	1916571874622	1916597506878	1916597514428	2563.2256	0.7550	2563.98	2.00	-98.55	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=186}
4	50	竖直向上	1916607575112	1916648016281	1916649176151	4044.1169	115.9870	4160.10	4.00	-97.50	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=579}
5	100	竖直向上	1916659234451	1916684804772	1916684817165	2557.0321	1.2393	2558.27	2.00	-98.75	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=581}
6	150	竖直向下	1916694887270	1916715556445	1916716674299	2066.9175	111.7854	2178.70	1.33	-90.77	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=202}
7	150	水平向左	1916726725164	1916747475525	1916747885288	2075.0361	40.9763	2116.01	1.33	-97.52	{X=964,Y=384}	{X=614,Y=384}	{X=809,Y=384}
8	100	水平向右	1916757956865	1916783554983	1916783554990	2559.8118	0.0007	2559.81	2.00	-98.60	{X=264,Y=384}	{X=614,Y=384}	{X=416,Y=384}
9	100	竖直向下	1916793614637	1916783554983	1916783554990	1005.9654	0.0007	1005.96	2.00	-175.00	{X=614,Y=34}	{X=614,Y=384}	{X=416,Y=384}
10	150	竖直向下	1916804115668	1916824746325	1916825794464	2063.0657	104.8139	2167.88	1.33	-90.63	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=202}
11	150	水平向左	1916835854555	1916824746325	1916825794464	1110.8230	104.8139	1006.01	1.33	-175.00	{X=964,Y=384}	{X=614,Y=384}	{X=614,Y=202}
12	50	水平向左	1916845895305	1916886367302	1916886367423	4047.1997	0.0121	4047.21	4.00	-99.72	{X=964,Y=384}	{X=614,Y=384}	{X=813,Y=384}
13	100	水平向左	1916896434482	1916922005673	1916923005400	2557.1191	99.9727	2657.09	2.00	-94.15	{X=964,Y=384}	{X=614,Y=384}	{X=802,Y=384}
14	150	竖直向上	1916933056338	1916922005673	1916923005400	1105.0665	99.9727	1005.09	1.33	-175.00	{X=614,Y=734}	{X=614,Y=384}	{X=802,Y=384}
15	150	水平向左	1916943535747	1916964147991	1916964148231	2061.2244	0.0240	2061.25	1.33	-97.73	{X=964,Y=384}	{X=614,Y=384}	{X=809,Y=384}
16	50	水平向右	1916974226678	1917014697122	1917014706852	4047.0444	0.9730	4048.02	4.00	-99.87	{X=264,Y=384}	{X=614,Y=384}	{X=414,Y=384}
17	100	水平向右	1917024764465	1917014697122	1917014706852	1006.7343	0.9730	1005.76	2.00	-175.00	{X=264,Y=384}	{X=614,Y=384}	{X=414,Y=384}
18	150	水平向右	1917034815759	1917055456341	1917055476223	2064.0582	1.9882	2066.05	1.33	-97.38	{X=264,Y=384}	{X=614,Y=384}	{X=419,Y=384}
19	150	竖直向下	1917065535923	1917086146362	1917086146396	2061.0439	0.0034	2061.05	1.33	-97.60	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=188}
20	50	竖直向上	1917096214736	1917136734388	1917137177368	4051.9652	44.2980	4096.26	4.00	-98.42	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=583}
21	150	水平向右	1917147251549	1917167995841	1917168009228	2074.4292	1.3387	2075.77	1.33	-97.15	{X=264,Y=384}	{X=614,Y=384}	{X=419,Y=384}
22	50	竖直向下	1917178075796	1917167995841	1917168009228	1007.9955	1.3387	1006.66	4.00	-175.00	{X=614,Y=34}	{X=614,Y=384}	{X=419,Y=384}
23	50	水平向右	1917188546540	1917228857398	1917230126379	4031.0858	126.8981	4157.98	4.00	-97.70	{X=264,Y=384}	{X=614,Y=384}	{X=418,Y=384}
24	100	水平向右	1917240205142	1917265858104	1917265858166	2565.2962	0.0062	2565.30	2.00	-98.64	{X=264,Y=384}	{X=614,Y=384}	{X=416,Y=384}
