测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	50	水平向左	1787434867059	1787475437143	1787475437150	4057.0084	0.0007	4057.01	4.00	-99.38	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
2	100	水平向右	1787827517156	1787852879003	1787853648273	2536.1847	76.9270	2613.11	2.00	-97.11	{X=264,Y=384}	{X=614,Y=384}	{X=419,Y=384}
3	50	竖直向下	1787883547640	1787924098453	1787924119889	4055.0813	2.1436	4057.22	4.00	-99.20	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
4	150	竖直向上	1787963607031	1787984018954	1787984289513	2041.1923	27.0559	2068.25	1.33	-98.50	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
5	50	竖直向上	1788016729478	1788057259517	1788057278960	4053.0039	1.9443	4054.95	4.00	-99.32	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
6	150	竖直向下	1788091419172	1788111928552	1788112218989	2050.9380	29.0437	2079.98	1.33	-98.23	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
7	100	水平向左	1788143347683	1788168708545	1788168708666	2536.0862	0.0121	2536.10	2.00	-99.10	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
8	150	水平向左	1788193467776	1788213960242	1788213960830	2049.2466	0.0588	2049.31	1.33	-98.19	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
9	50	水平向左	1788246868739	1788287387633	1788288120568	4051.8894	73.2935	4125.18	4.00	-98.30	{X=964,Y=384}	{X=614,Y=384}	{X=810,Y=384}
10	150	竖直向下	1788311427163	1788331846590	1788331846675	2041.9427	0.0085	2041.95	1.33	-98.50	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=186}
11	50	水平向左	1788356186544	1788396798844	1788396819311	4061.2300	2.0467	4063.28	4.00	-99.23	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
12	150	竖直向下	1788427146585	1788447626620	1788447808682	2048.0035	18.2062	2066.21	1.33	-97.77	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=188}
13	100	水平向右	1788492727853	1788518098130	1788519250277	2537.0277	115.2147	2652.24	2.00	-95.44	{X=264,Y=384}	{X=614,Y=384}	{X=423,Y=384}
