测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	150	竖直向下	1927789484003	1927809765474	1927810272323	2028.1471	50.6849	2078.83	1.33	-96.24	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=191}
2	50	竖直向上	1927820345594	1927860604500	1927861312984	4025.8906	70.8484	4096.74	4.00	-98.93	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=581}
3	150	水平向右	1927871375647	1927891835025	1927892120603	2045.9378	28.5578	2074.50	1.33	-98.43	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
4	150	竖直向下	1927902205326	1927922715306	1927922715311	2050.9980	0.0005	2051.00	1.33	-98.20	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
5	50	竖直向上	1927932805913	1927973384167	1927973384176	4057.8254	0.0009	4057.83	4.00	-99.18	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
6	150	水平向右	1927983474379	1928003975439	1928003975659	2050.1060	0.0220	2050.13	1.33	-97.82	{X=264,Y=384}	{X=614,Y=384}	{X=418,Y=384}
7	150	竖直向下	1928014054002	1928034555433	1928034593440	2050.1431	3.8007	2053.94	1.33	-98.12	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
8	50	竖直向上	1928044655474	1928085215371	1928085876241	4055.9897	66.0870	4122.08	4.00	-98.13	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
9	100	竖直向上	1928095952495	1928121375522	1928121375527	2542.3027	0.0005	2542.30	2.00	-99.00	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=581}
10	150	水平向右	1928131454799	1928151915484	1928152112763	2046.0685	19.7279	2065.80	1.33	-98.49	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
11	50	水平向左	1928162184518	1928202685756	1928202686190	4050.1238	0.0434	4050.17	4.00	-99.32	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
12	150	竖直向上	1928212754827	1928233235530	1928233953310	2048.0703	71.7780	2119.85	1.33	-95.13	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=574}
13	150	水平向右	1928244014911	1928264425556	1928265153081	2041.0645	72.7525	2113.82	1.33	-95.28	{X=264,Y=384}	{X=614,Y=384}	{X=423,Y=384}
14	50	水平向左	1928275225338	1928315804030	1928316194948	4057.8692	39.0918	4096.96	4.00	-98.18	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
15	150	竖直向上	1928326294373	1928346775133	1928347713453	2048.0760	93.8320	2141.91	1.33	-92.20	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=568}
16	50	水平向右	1928357785622	1928398415433	1928398433189	4062.9811	1.7756	4064.76	4.00	-99.13	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
17	100	水平向右	1928408513957	1928433945418	1928434591716	2543.1461	64.6298	2607.78	2.00	-97.29	{X=264,Y=384}	{X=614,Y=384}	{X=419,Y=384}
18	150	水平向左	1928444665697	1928465145367	1928466033295	2047.9670	88.7928	2136.76	1.33	-91.91	{X=964,Y=384}	{X=614,Y=384}	{X=797,Y=384}
19	50	水平向右	1928476104037	1928516674122	1928517312624	4057.0085	63.8502	4120.86	4.00	-98.25	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
20	100	竖直向上	1928527384657	1928552775522	1928553153459	2539.0865	37.7937	2576.88	2.00	-99.30	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
21	150	竖直向下	1928563224292	1928583785582	1928583785589	2056.1290	0.0007	2056.13	1.33	-97.74	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=188}
22	50	竖直向上	1928593864908	1928634405509	1928635153497	4054.0601	74.7988	4128.86	4.00	-98.23	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
23	100	竖直向上	1928645214309	1928670535340	1928671309839	2532.1031	77.4499	2609.55	2.00	-97.30	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=578}
24	150	水平向右	1928681394030	1928701894570	1928702276387	2050.0540	38.1817	2088.24	1.33	-97.98	{X=264,Y=384}	{X=614,Y=384}	{X=418,Y=384}
