Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	3300866	0	4291666430	-1	0
1	2	2	0	3303053	3303053	1	0
1	3	1	3303860	3304624	764	0	0
1	4	0	3306895	3307610	715	1	0
1	5	0	3309890	3310749	859	0	1
1	6	0	3312884	3313467	583	1	0
1	7	0	3315880	3316573	693	1	0
1	8	1	3318873	3319544	671	0	0
1	9	1	3321867	3322661	794	1	1
1	10	1	3324861	3325505	644	1	1
1	11	0	3327896	3328460	564	1	0
1	12	0	3330890	3331452	562	0	1
1	13	0	3333884	3334546	662	0	1
1	14	1	3336868	0	4291630428	-1	0
1	15	2	0	3339114	3339114	1	0
1	16	1	3339860	0	4291627436	-1	0
1	17	0	3342895	3343030	135	1	0
1	18	0	3345888	0	4291621408	-1	0
1	19	0	3348881	3349014	133	1	0
1	20	2	0	3350428	3350428	1	0
1	21	0	3352472	3352656	184	1	0
1	22	2	0	3353446	3353446	1	0
1	23	2	0	3354079	3354079	1	0
1	24	0	3354891	3356317	1426	1	0
1	25	2	0	3357133	3357133	0	0
