Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	22096124	0	4272871172	-1	0
1	2	1	22099116	0	4272868180	-1	0
1	3	0	22102148	0	4272865148	-1	0
1	4	0	22105142	0	4272862154	-1	0
1	5	0	22108136	0	4272859160	-1	0
1	6	0	22111130	0	4272856166	-1	0
1	7	1	22114124	0	4272853172	-1	0
1	8	1	22117118	0	4272850178	-1	0
1	9	0	22120153	0	4272847143	-1	0
1	10	0	22123147	0	4272844149	-1	0
1	11	0	22126143	0	4272841153	-1	0
1	12	0	22129138	0	4272838158	-1	0
1	13	0	22132132	0	4272835164	-1	0
1	14	1	22135125	0	4272832171	-1	0
1	15	0	22138152	0	4272829144	-1	0
1	16	0	22141145	0	4272826151	-1	0
1	17	0	22144139	0	4272823157	-1	0
1	18	0	22147133	0	4272820163	-1	0
1	19	1	22150123	0	4272817173	-1	0
