Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	0	19973218	0	4274994078	-1	0
1	2	1	19976212	0	4274991084	-1	0
1	3	0	19979245	0	4274988051	-1	0
1	4	1	19982239	0	4274985057	-1	0
1	5	0	19985233	0	4274982063	-1	0
1	6	1	19988229	0	4274979067	-1	0
1	7	0	19991223	0	4274976073	-1	0
1	8	1	19994217	0	4274973079	-1	0
1	9	0	19997212	0	4274970084	-1	0
1	10	1	20000247	0	4274967049	-1	0
1	11	0	20003239	0	4274964057	-1	0
1	12	1	20006233	0	4274961063	-1	0
1	13	0	20009227	0	4274958069	-1	0
1	14	1	20012221	0	4274955075	-1	0
1	15	0	20015223	0	4274952073	-1	0
1	16	1	20018216	0	4274949080	-1	0
1	17	0	20021210	0	4274946086	-1	0
1	18	1	20024245	0	4274943051	-1	0
1	19	0	20027239	0	4274940057	-1	0
