Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	18721600	0	4276245696	-1	0
1	2	1	18724596	0	4276242700	-1	0
1	3	1	18727632	0	4276239664	-1	0
1	4	0	18730626	0	4276236670	-1	0
1	5	0	18733620	0	4276233676	-1	0
1	6	0	18736612	0	4276230684	-1	0
1	7	0	18739606	0	4276227690	-1	0
1	8	0	18742600	0	4276224696	-1	0
1	9	0	18745598	0	4276221698	-1	0
1	10	1	18748591	0	4276218705	-1	0
1	11	1	18751626	0	4276215670	-1	0
1	12	1	18754620	0	4276212676	-1	0
1	13	0	18757614	0	4276209682	-1	0
1	14	1	18760608	0	4276206688	-1	0
1	15	1	18763602	18764954	1352	1	1
1	16	0	18766599	18767330	731	0	1
1	17	1	18769592	18770334	742	1	1
1	18	0	18772625	18773356	731	0	1
1	19	1	18775621	18776362	741	1	1
1	20	0	18778617	18779323	706	0	1
