Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	22587518	0	4272379778	-1	0
1	2	1	22590514	0	4272376782	-1	0
1	3	1	22593508	0	4272373788	-1	0
1	4	0	22596500	0	4272370796	-1	0
1	5	0	22599494	0	4272367802	-1	0
1	6	1	22602529	0	4272364767	-1	0
1	7	1	22605523	0	4272361773	-1	0
1	8	1	22608517	0	4272358779	-1	0
1	9	1	22611513	0	4272355783	-1	0
1	10	1	22614508	0	4272352788	-1	0
1	11	0	22617502	0	4272349794	-1	0
1	12	0	22620496	0	4272346800	-1	0
1	13	1	22623531	0	4272343765	-1	0
1	14	1	22626525	0	4272340771	-1	0
1	15	1	22629519	0	4272337777	-1	0
1	16	1	22632513	0	4272334783	-1	0
1	17	0	22635506	0	4272331790	-1	0
1	18	0	22638500	0	4272328796	-1	0
1	19	0	22641494	0	4272325802	-1	0
