Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	22654364	0	4272312932	-1	0
1	2	1	22657360	0	4272309936	-1	0
1	3	0	22660395	0	4272306901	-1	0
1	4	0	22663387	0	4272303909	-1	0
1	5	1	22666381	0	4272300915	-1	0
1	6	1	22669375	0	4272297921	-1	0
1	7	1	22672370	0	4272294926	-1	0
1	8	1	22675364	0	4272291932	-1	0
1	9	1	22678358	0	4272288938	-1	0
1	10	1	22681367	0	4272285929	-1	0
1	11	1	22684361	0	4272282935	-1	0
1	12	0	22687396	0	4272279900	-1	0
1	13	0	22690390	0	4272276906	-1	0
1	14	0	22693386	0	4272273910	-1	0
1	15	1	22696378	0	4272270918	-1	0
1	16	1	22699372	0	4272267924	-1	0
1	17	1	22702366	0	4272264930	-1	0
1	18	1	22705360	0	4272261936	-1	0
1	19	0	22708396	0	4272258900	-1	0
