Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	21992704	0	4272974592	-1	0
1	2	1	21995698	0	4272971598	-1	0
1	3	0	21998731	0	4272968565	-1	0
1	4	0	22001726	0	4272965570	-1	0
1	5	0	22004722	0	4272962574	-1	0
1	6	1	22007716	0	4272959580	-1	0
1	7	1	22010708	0	4272956588	-1	0
1	8	1	22013702	0	4272953594	-1	0
1	9	1	22016696	0	4272950600	-1	0
1	10	0	22019733	0	4272947563	-1	0
1	11	0	22022725	0	4272944571	-1	0
1	12	1	22025720	0	4272941576	-1	0
1	13	1	22028714	0	4272938582	-1	0
1	14	1	22031708	0	4272935588	-1	0
1	15	1	22034704	0	4272932592	-1	0
1	16	1	22037696	0	4272929600	-1	0
1	17	0	22040731	0	4272926565	-1	0
1	18	0	22043725	0	4272923571	-1	0
1	19	1	22046719	0	4272920577	-1	0
