Pra_Test	HoldNum	HoldTime	StartTime	SureTime	Test_RT	HoldError	Error_Ratio
0	1	0	61388296	61391407	3111	3111	1.#J
0	2	0	61393384	61393968	584	584	1.#J
0	3	0	61395968	61398234	2266	2266	1.#J
0	4	0	61400232	61400280	48	48	1.#J
0	5	0	61402280	61402687	407	407	1.#J
1	1	0	61406288	61406629	341	341	1.#J
1	2	0	61408628	61408915	287	287	1.#J
1	3	0	61410924	61411337	413	413	1.#J
1	4	0	61413344	61413843	499	499	1.#J
1	5	0	61415848	61416206	358	358	1.#J
