Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	0	256227	256919	692	0	1
1	2	0	259220	259660	440	0	1
1	3	1	262216	262757	541	0	0
1	4	1	265210	265565	355	0	0
1	5	1	268204	268569	365	0	0
1	6	1	271198	272122	924	1	1
1	7	1	274192	274712	520	0	0
1	8	0	277227	277802	575	1	0
1	9	0	280221	280651	430	1	0
1	10	1	283216	283619	403	0	0
1	11	1	286208	287083	875	1	1
1	12	1	289202	289889	687	0	0
1	13	1	292195	292676	481	1	1
1	14	0	295229	295694	465	0	1
1	15	0	298222	298659	437	0	1
1	16	0	301216	301642	426	0	1
1	17	1	304210	304651	441	0	0
1	18	1	307205	307566	361	1	1
1	19	1	310198	310541	343	0	0
