Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	0	23281307	23282851	1544	0	1
1	2	1	23284301	23286097	1796	1	1
1	3	0	23287336	23287887	551	0	1
1	4	0	23290328	23291195	867	0	1
1	5	0	23293322	23293947	625	0	1
1	6	0	23296314	23296779	465	0	1
1	7	0	23299308	23299888	580	0	1
1	8	1	23302302	23302890	588	1	1
1	9	1	23305296	23306002	706	1	1
1	10	0	23308330	23309056	726	0	1
1	11	0	23311326	23311882	556	0	1
1	12	0	23314320	23314929	609	0	1
1	13	0	23317314	23317845	531	0	1
1	14	0	23320308	23320834	526	0	1
1	15	1	23323302	23323964	662	1	1
1	16	1	23326296	23327105	809	1	1
1	17	0	23329331	23329994	663	0	1
1	18	0	23332326	23332919	593	0	1
1	19	0	23335320	23335947	627	0	1
1	20	0	23338314	23338796	482	0	1
