Pra_Test	Trial	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	ObjRotate	PostRotate	Distance	RotateError	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY	ObjRotateSpeed	PostRotateSpeed
0	1	43	143220901	811	366	615	242	0.00	0.00	231.93	0.00	0	-0.57	-9.98	-500.00	500.00	0.00	0.00
0	1	44	143220942	811	366	592	265	0.00	0.00	241.17	0.00	0	-0.59	-9.98	0.00	500.00	0.00	0.00
0	1	45	143220983	811	366	592	283	0.00	0.00	234.20	0.00	0	-0.60	-9.98	500.00	500.00	0.00	0.00
0	1	46	143221024	811	365	616	307	0.00	0.00	203.44	0.00	0	-0.61	-9.98	500.00	500.00	0.00	0.00
0	1	47	143221064	811	365	637	328	0.00	0.00	177.89	0.00	0	-0.63	-9.98	500.00	500.00	0.00	0.00
0	1	48	143221105	811	364	654	345	0.00	0.00	158.15	0.00	0	-0.64	-9.98	500.00	500.00	0.00	0.00
0	1	49	143221146	811	364	679	370	0.00	0.00	132.14	0.00	0	-0.66	-9.98	500.00	500.00	0.00	0.00
0	1	50	143221187	811	363	696	388	0.00	0.00	117.69	0.00	0	-0.67	-9.98	500.00	0.00	0.00	0.00
0	1	51	143221228	811	363	715	388	0.00	0.00	99.20	0.00	0	-0.68	-9.98	500.00	0.00	0.00	0.00
0	1	52	143221268	811	363	738	388	0.00	0.00	77.16	0.00	0	-0.69	-9.98	500.00	0.00	0.00	0.00
0	1	53	143221309	811	362	756	388	0.00	0.00	60.84	0.00	0	-0.71	-9.98	500.00	0.00	0.00	0.00
0	1	54	143221350	811	362	779	388	0.00	0.00	41.23	0.00	0	-0.72	-9.97	500.00	-500.00	0.00	0.00
0	1	55	143221391	811	361	798	369	0.00	0.00	15.26	0.00	0	-0.73	-9.97	0.00	-500.00	0.00	0.00
0	1	56	143221432	811	361	798	345	0.00	0.00	20.62	0.00	0	-0.75	-9.97	-500.00	-500.00	0.00	0.00
0	1	57	143221473	811	361	780	327	0.00	0.00	46.01	0.00	0	-0.76	-9.97	-500.00	-500.00	0.00	0.00
0	1	58	143221514	811	360	759	306	0.00	0.00	74.97	0.00	0	-0.78	-9.97	-500.00	0.00	0.00	0.00
0	1	59	143221554	811	360	741	306	0.00	0.00	88.41	0.00	0	-0.79	-9.97	-500.00	0.00	0.00	0.00
0	1	60	143221595	811	359	718	306	0.00	0.00	107.04	0.00	0	-0.80	-9.97	-500.00	0.00	0.00	0.00
0	1	61	143221636	811	359	700	306	0.00	0.00	123.00	0.00	0	-0.82	-9.97	-500.00	500.00	0.00	0.00
0	1	62	143221676	810	359	676	330	0.00	0.00	137.10	0.00	0	-0.83	-9.97	-500.00	500.00	0.00	0.00
0	1	63	143221717	810	358	658	348	0.00	0.00	152.33	0.00	0	-0.84	-9.96	-500.00	500.00	0.00	0.00
0	1	64	143221758	810	358	635	371	0.00	0.00	175.48	0.00	0	-0.86	-9.96	0.00	500.00	0.00	0.00
0	1	65	143221798	810	357	635	389	0.00	0.00	177.90	0.00	0	-0.87	-9.96	500.00	500.00	0.00	0.00
0	1	66	143221839	810	357	659	413	0.00	0.00	161.05	0.00	0	-0.89	-9.96	500.00	500.00	0.00	0.00
0	1	67	143221880	810	357	677	431	0.00	0.00	152.20	0.00	0	-0.90	-9.96	500.00	500.00	0.00	0.00
0	1	68	143221921	810	356	700	454	0.00	0.00	147.32	0.00	0	-0.91	-9.96	500.00	500.00	0.00	0.00
0	1	69	143221961	810	356	719	473	0.00	0.00	148.22	0.00	0	-0.93	-9.96	500.00	0.00	0.00	0.00
0	1	70	143222002	810	355	736	473	0.00	0.00	139.28	0.00	0	-0.94	-9.96	500.00	0.00	0.00	0.00
0	1	71	143222042	810	355	761	473	0.00	0.00	127.77	0.00	0	-0.95	-9.95	500.00	0.00	0.00	0.00
0	1	72	143222083	810	355	779	473	0.00	0.00	122.00	0.00	0	-0.97	-9.95	500.00	-500.00	0.00	0.00
0	1	73	143222123	810	354	803	449	0.00	0.00	95.26	0.00	0	-0.98	-9.95	0.00	-500.00	0.00	0.00
0	1	74	143222164	810	354	803	432	0.00	0.00	78.31	0.00	0	-0.99	-9.95	0.00	-500.00	0.00	0.00
0	1	75	143222205	810	353	803	408	0.00	0.00	55.44	0.00	0	-1.01	-9.95	-500.00	-500.00	0.00	0.00
0	1	76	143222246	810	353	785	390	0.00	0.00	44.65	0.00	0	-1.02	-9.95	-500.00	0.00	0.00	0.00
0	1	77	143222286	810	352	762	390	0.00	0.00	61.22	0.00	0	-1.04	-9.95	-500.00	0.00	0.00	0.00
0	1	78	143222327	810	352	744	390	0.00	0.00	76.16	0.00	0	-1.05	-9.94	-500.00	500.00	0.00	0.00
0	1	79	143222368	810	352	727	408	0.00	0.00	100.12	0.00	0	-1.06	-9.94	-500.00	500.00	0.00	0.00
0	1	80	143222409	810	351	703	432	0.00	0.00	134.20	0.00	0	-1.08	-9.94	-500.00	500.00	0.00	0.00
0	1	81	143222450	810	351	685	450	0.00	0.00	159.46	0.00	0	-1.09	-9.94	-500.00	500.00	0.00	0.00
0	1	82	143222491	810	351	668	467	0.00	0.00	183.36	0.00	0	-1.10	-9.94	0.00	0.00	0.00	0.00
0	1	83	143222532	810	350	668	467	0.00	0.00	183.99	0.00	0	-1.12	-9.94	0.00	0.00	0.00	0.00
0	1	84	143222573	810	350	668	467	0.00	0.00	183.99	0.00	0	-1.13	-9.94	0.00	0.00	0.00	0.00
0	1	85	143222614	810	349	668	467	0.00	0.00	184.63	0.00	0	-1.14	-9.93	0.00	0.00	0.00	0.00
0	1	86	143222655	809	349	668	467	0.00	0.00	183.86	0.00	0	-1.16	-9.93	500.00	-500.00	0.00	0.00
