Pra_Test	HoldNum	HoldTime	StartTime	SureTime	Test_RT	HoldError	Error_Ratio
0	1	7000	144214352	144530851	316499	309499	44.21
0	2	11000	144532848	144574056	41208	30208	2.75
0	3	6000	144576032	144603468	27436	21436	3.57
0	4	12000	144605440	144606066	626	-11374	-0.95
0	5	3000	144608064	144608704	640	-2360	-0.79
0	6	4000	144610688	144610968	280	-3720	-0.93
0	7	2000	144612944	144615528	2584	584	0.29
0	8	5000	144617504	144620196	2692	-2308	-0.46
0	9	8000	144622176	144624817	2641	-5359	-0.67
0	10	10000	144626816	144627171	355	-9645	-0.96
0	11	9000	144629136	144629656	520	-8480	-0.94
0	12	13000	144631648	144633778	2130	-10870	-0.84
1	1	3000	144898336	144921067	22731	19731	6.58
1	2	10000	144923056	144923397	341	-9659	-0.97
1	3	13000	144925408	144925647	239	-12761	-0.98
1	4	7000	144927632	144927934	302	-6698	-0.96
1	5	5000	144929920	144930222	302	-4698	-0.94
1	6	2000	144932224	144932472	248	-1752	-0.88
1	7	9000	144934464	144935194	730	-8270	-0.92
1	8	11000	144937168	144937507	339	-10661	-0.97
1	9	12000	144939520	144939887	367	-11633	-0.97
1	10	8000	144941888	144942286	398	-7602	-0.95
1	11	4000	144944272	144944876	604	-3396	-0.85
1	12	6000	144946864	144947216	352	-5648	-0.94
